Date,img_path,0,1,2,3,4
2020-04-22,28Lockdowndaywhatever5.png,#fefffe,#eaf2d5,#cfe29d,#b4d362,#9dc525
2020-04-23,27Keepsgoing6.jpg,#fefefc,#eef4dc,#dce8ba,#c5d98c,#a8c74c
2020-04-24,26Thespace5.jpg,#fbfcf6,#eff4dd,#d6e5aa,#bdd47b,#a5c445
2020-04-27,24GnT0.jpg,#cdc9c0,#bab4ab,#a19386,#534a42,#0f1014
2020-04-27,25OhDahvid8.jpg,#cfbea9,#bea690,#a88771,#5d4f42,#0d0c0a
2020-05-05,23DefinitelynotKierkegaard7.jpg,#b8b7a9,#aa9a89,#947968,#433f37,#0d0f11
2020-05-06,21Gotanewbrushpen2.jpg,#dcccbb,#89adae,#786a5a,#1482a3,#322d2b
2020-05-06,22S-rennotS-ren9.jpg,#c9c6b9,#bba18f,#a67c62,#4c4a45,#121412
2020-05-07,20Inamood2.jpg,#c9c4b8,#a49787,#897660,#323136,#0c0d0e
2020-05-07,19Whiterabbits7.jpg,#c8cac5,#b1aba0,#a18471,#7f5f4c,#0f0f11
2020-05-10,18Selfie-1.jpeg,#bdc1c2,#ada69d,#938071,#4c4d40,#14180f
2020-05-11,16Selfie-2.jpeg,#cdc8be,#afaaa1,#8f887b,#636160,#161719
2020-05-12,15Selfie-3.jpeg,#c8c8c5,#b5b2ad,#95938e,#757066,#0d0e14
2020-05-13,14Selfie-4.jpeg,#c3bdb2,#aaa398,#8c8275,#504c45,#0d0d0f
2020-05-17,13Sittingbythedockofthebay.jpeg,#c6c8e1,#c0b5c8,#af9ba7,#4f4d3f,#1b1c15
2020-05-22,11Shannon.jpeg,#d2b7a3,#bca491,#a89180,#80746d,#1d2231
2020-05-22,12Selfie-5.jpeg,#cebca6,#b1a79b,#898d89,#676661,#2c2a35
2020-05-23,8Selfie-6.jpeg,#cecdc9,#b3b1ab,#9b958c,#544b4b,#1e130e
2020-05-25,7Hmph.jpeg,#cec0af,#b4ac9e,#c08f48,#868b89,#2b2021
2020-05-27,6Laksaman.jpeg,#cdbb9c,#baa98b,#a8977b,#746652,#211f17
2020-06-02,5Ku-rvi-Tasch.jpeg,#cac1b2,#b2ab9f,#7f8789,#403026,#150d0b
2020-06-19,4ahoandmaho1.jpg,#c3bcb4,#afaeab,#798e98,#466679,#131224
2020-06-26,3Bitexxyd.jpg,#afbccc,#9ba5b2,#6382a1,#817b76,#362416
2020-06-27,2Yorkedd-1.jpg,#bfb7a7,#aea89d,#8c9090,#6f7477,#20150d
2020-06-28,1Straussindahausss.png,#ffffff,#e0eec1,#bedb7f,#9cc83e,#7cb604
2020-06-29,0Yorkedagain1.jpg,#e4b9a5,#cfa794,#a7806c,#624b4c,#2d1927
2020-07-07,Indoor-palm.jpeg,#adc0d3,#a6adb6,#8f9ba7,#747b7e,#261510
2020-07-08,Sower2.jpeg,#d7d0c4,#c0b9ab,#8b867e,#5d574e,#392414
2020-07-08,2020-07-08-14.26.59.jpg,#c5c2be,#b1aba2,#99948f,#746657,#322014
2020-07-08,Sowerred.jpeg,#c5c0b7,#b08f82,#996455,#7b402c,#312013
2020-07-09,Dickinson.jpeg,#c5c4ba,#bba592,#ca754e,#59403a,#391a0f
2020-07-13,Selfie7.jpeg,#cac1b4,#a9a9a3,#6c5b48,#513823,#351d0c
2020-07-14,Fancy.jpeg,#c3c0bb,#aba6a0,#918e88,#706b64,#3f2a1b
2020-07-14,Gogh2.jpeg,#c3bfb9,#aeaaa4,#868d8e,#58493b,#352012
2020-07-26,Chinbutt.jpeg,#c9c9c6,#b1b0ac,#939089,#70634f,#462c17
2020-08-02,Study1.jpeg,#bab9b3,#abaaa6,#a09f9c,#8b837b,#2f2015
2020-08-02,Study2.jpeg,#ccc8c0,#b1afa9,#98948d,#787269,#423731
2020-08-02,Pipedin.jpeg,#d1b7a0,#9c938b,#c67255,#596f76,#422917
2020-08-03,Desk.jpeg,#cbcac5,#b4afa8,#938f89,#6c6861,#372a1d
2020-08-03,Inlila.jpeg,#d3bfa9,#b29893,#947175,#794754,#372214
2020-08-08,Flowerpot.jpeg,#ccc8bf,#afaba4,#979186,#78746c,#534f47
2020-08-09,Monk.jpeg,#c6c1b6,#adacaa,#91908d,#6f6c67,#351e11
2020-08-12,Sleepingbenny.jpeg,#d2cfc8,#afada7,#86837e,#5b5653,#1b1811
2020-08-15,Hatchingmarket.jpeg,#adb6d4,#8c94ae,#676f7d,#484641,#1c1b17
2020-08-18,Coffeewaiting.jpeg,#c0c4c1,#a1a3a0,#796e6c,#534444,#23171b
2020-08-19,Broadwaterboat.jpeg,#b2b6b6,#c0ac92,#999b9c,#82665c,#654136
2020-08-20,Grandma.jpeg,#cfc7b8,#beb5a5,#a79e8d,#6f7278,#2f3141
2020-08-22,Singing.jpeg,#c7c8c5,#a7a7a5,#848481,#5d564c,#381f0e
2020-08-23,Flowerpot-2.jpeg,#cbcac7,#b0afab,#86847f,#5a5852,#372315
2020-08-25,Cafeman.jpeg,#cbccc7,#b9b9b3,#91918d,#635c57,#382f2d
2020-08-28,Omabreakfasting.jpeg,#9bb3e4,#889bca,#66779d,#2f353f,#0d0f15
2020-08-29,Covidtests.jpeg,#b2bbe5,#969bbd,#73768f,#4d4f60,#2b1e1b
2020-08-29,Windowchallenge1.jpeg,#c2c2d2,#afafbe,#90919f,#696a75,#2b2a2c
2020-08-29,Coldbrew.jpeg,#cccccb,#b7b7b3,#818280,#424242,#0f1113
2020-08-30,Windowswap2.jpeg,#d2c9bc,#aba195,#857a6f,#5b534a,#4d2711
2020-09-03,Midtone-portrait.jpeg,#c6bdaf,#aba294,#8b8378,#636160,#3f3128
2020-09-03,Romewindowsketch.jpeg,#c2bfb9,#c09875,#8a7c6c,#655646,#2b1e15
2020-09-07,Tonedmouse.jpeg,#e4ad8d,#cb9575,#a6785f,#7c5643,#62341f
2020-09-30,Phnompenh.jpeg,#c6c4be,#aba28d,#878062,#655236,#502712
2020-09-30,Untitled.jpeg,#c6c3bb,#d6906c,#9c9d8f,#816e55,#532c15
2020-10-01,Graphfish.jpeg,#d6cec3,#a29e95,#686461,#925231,#533426
2020-10-02,2020-09-30-13.56.03.jpg,#d9d8d4,#bcb6af,#9d9790,#625e5a,#432314
2020-10-02,Annaswindow-2.jpeg,#d1cfc9,#afaaa4,#84807b,#54514d,#512510
2020-10-04,Abdulrahmansroom.jpeg,#d9d7d0,#b7afa3,#84817c,#63564d,#5c3018
2020-10-11,keels.jpeg,#d8cdbe,#b5ab9c,#756c63,#6b3e22,#4a2814
2020-10-23,Arteest.jpeg,#dad5cc,#a3a5a4,#7a7774,#55524f,#4d2515
2020-10-24,2020-10-25-08.17.46.jpg,#d6c6af,#9a9d9e,#4c647f,#56270d,#311206
2020-10-31,53DAF7A4-8DEB-403E-B082-51E949B9EB8A_1_105_c.jpeg,#cac3b8,#b1aa9f,#8f887c,#653b22,#461e0d
